ID,Text,Label
1,"Kadiri naman yung nakikita ko dito sa twitter na indian, jijitim ng mga utong pinapakita pa",1
2,Mukhang masaya ang mga kasama mo sa picture.,0
3,hahaha tangina niyo skunky pa ang nais ni negro amputa hahaha,1
4,PAG SINAGOT KA NI BAYS WALANG SUMBUNGAN KAY TA/TAY DI/GS HA HAHAHAHAHHHAHAHAHAHHAHHAHAHAHAHAHHAHAHAA PAKYU ROQUE MUKHA KANG PATATAS,1
5,"Deadline na po ng mga proposals bukas, tapusin na.",0
6,Masaya ako kasi nakita kitang muli.,0
7,"Pinuntahan namin ang bagong parke, ang laki.",0
8,"Dito kami kumain noong huli, masarap talaga.",0
9,Medyo napagod ako sa lakad namin kanina.,0
10,Ulol tangina mo mas maitim ka pa sa badjao gago,1
11,PUTANGINA MO BRO ELI FALSE RELIGION FALSE TEACHING FALSE FUCK YALL,1
12,Fuckyut ang potah! Ampanget naman puro noong ngipin tapos ang ilong parang bahay ng sangkilong kulangot! Hoy palitan mo profile pakyu mo walang says kakasuka!,1
13,Ang panget! Ano daw?? Nakakahiya sa mamang Arabo! :)),1
14,TANGINA MO POKPOK!!! WHORE!!! CUNT!!! CHEATER!!! Send send ka pa ng puke mo kaluwang naman. Send send ka pa ng suso mo kaliit naman. HAHAHAHAH ðŸ¤®,1
15,"Ang ganda ng pagkakagawa ng proyekto, impressive.",0
16,"Ang lakas ng kalaban, hirap talaga silang talunin.",0
17,Congrats sa achievement mo! You truly deserve it.,0
18,Ano thoughts niyo guys sa proposal na 'to?,0
19,"Of course, I can help you with that right away.",0
20,"Ang bilis ng oras, magtatanghali na pala agad.",0
21,sarap sampalin ni nognog ng maraming beses!,1
22,"Ang ganda ng view dito, perfect for pictures.",0
23,Sana okay lang ang biyahe ninyo pauwi mamaya.,0
24,"Walang problema, ayos lang, naiintindihan kita.",0
25,Ang sarap talaga sapakin ng mga taong amoy arabo e! Bwiset!,1
26,Naalala mo ba 'yung nangyari sa atin dati?,0
27,"Roger that, understood. I'll proceed as instructed.",0
28,"TANGINA NETONG COMMERCIAL NG MAXIPEEL, EDI KUNG PANGET YUNG BABAE DI MO LILIGAWAN GANON?! ULOL PAKYU HAHAHA",1
29,MUKHA KANG IGOROT SUPOT KA PA ATA EH KADIRI KA MUKHA KANG MAY AIDS,1
30,Kamusta po ang first day niyo sa bagong klase?,0
31,"Hindi ako pupunta sa Pasig, Malabon and Mandaluyong branches PUTANGINA KANG SIRAULO KANG MONGOLOID PILOT KA. KAYA TAPUSIN MO ANG PA-MAINTENANCE MO PUTANGINA MO. AT HINDI AKO ISANG CHEF AT HINDI RIN AKO MAGTATAYO NG COFFEE SHOP. MAS LALONG HINDI AKO MAGTATRABAHO NG LIBRE FOR YOU.",1
32,Feeling maganda ampota. Ang baho ng pekpek mo gago!,1
33,"Break muna tayo saglit, kailangan ko ng kape.",0
34,"Maganda ang simula ng araw, excited sa bagong laban.",0
35,"AT TATANONG KA PA KUNG ""GANDA KA BA?"" OO GAGO MAGANDA KO PAKYU MUKHA KANG BURAT. Good morning sayo kinangina mo.",1
36,"Fighting! Kaya mo 'yan, kapit lang!",0
37,totooo hindi tanga bobo estupido ang buong mundo pilipino lang ang korakot bulag pipi bingi tanga bobo,1
38,The neighbor's smell got in the condo pota amoy bumbay,1
39,"Wait lang, loading pa utak ko, di ko pa gets.",0
40,"Sana okay lang ang tulog mo kagabi, mahimbing?",0
41,TANGA BA KAYONG PUTANGINA KAYU? MGA SELFISH NA MATATANDA PANSARILING KASIYAHAN LANG INIISIP TANGA MGA DUWAG AT WALANG BAYAG TATANDA NYU NA SOBRANG DALI NYU PA MALUKO MGA TITE!!!,1
42,ipit na ipit magka suso lang puta desperada,1
43,Hoy tama n isang anak s inyo ha! Wag kau magkakalat ng lahi ninyong pangit borga ang ilong pokpok,1
44,Ulol bakla dami mong tigyawat pangit mo,1
45,"Ang bait ng iyong pamilya, ang warm ng welcome.",0
46,ISLAM IS A DEVIL'S RELIGION ILL SAY IT AGAIN,1
47,"Naiinis ako sa traffic, nakaka-stress.",0
48,Mukhang masarap ang ginawa mong lunch.,0
49,"See you around soon, sana magkita tayo ulit.",0
50,"Para saan 'to, beh? Pwede pa-clarify ang purpose?",0
51,Hayop na yan. Napagkamalan na naman na sugar daddy ko yung boss namin ni dustine nakita lang na bumili kami ng pizza hahahaha sumbong pa kayo kay negro mga olol,1
52,Enjoy your vacation! Have a super relaxing trip.,0
53,"Ang bilis ng internet, walang buffering, sulit!",0
54,"Gago wag mo ko idamay sa kagaguhan mo. Di ako bobo kagaya mo. Puro ka lang naman suso, eh iniipit mo lang naman yan.",1
55,Haha. :) Eww. Yuck. Hehe. Go Up. Shower ka na ng mawala na amoy ng pag ka Badjao mo;),1
56,ansakit na sa mata ng mga badjao sa taytay tangina talaga ambabaho pa,1
57,"Ano kaya nararamdaman ng mga ðŸ¸ðŸ¸ðŸ¸ ngayon??? Bulag at bingi pa din ba? Tanga-tangahan pa din?? Ito, ðŸ’£ðŸ’£ itali sa self at pasabugin nyo!!",1
58,Ano ba ang subject natin ngayon? Nakalimutan ko.,0
59,"Thanks for the treat, ang sarap ng food!",0
